Id,data_venda,vendedor,equipe,categoria_servico,servico,quantidade,preco_unitario,custo,cliente,estado,regiao
52,2022-07-17,Sarah,Equipe Nebula,Infraestrutura,Monitoramento de Sistemas,2,702.86,568.14,Vieira,RO,norte
53,2023-04-14,Vinicius,Equipe Nebula,Consultoria,Gestão de Projetos de TI,18,190.36,163.27,Duarte Gomes S/A,GO,centro-oeste
54,2023-06-23,Sarah,Equipe Nebula,Infraestrutura,Monitoramento de Sistemas,4,667.66,498.72,Barbosa,RS,sul
55,2024-10-07,Julia,Equipe Nebula,Consultoria,Treinamento em TI,14,1140.44,950.16,Barbosa Farias - EI,MG,sudeste
56,2023-09-28,Sarah,Equipe Nebula,Infraestrutura,Gerenciamento de Redes,2,987.86,611.15,Moreira,PR,sul
57,2024-02-23,Sarah,Equipe Nebula,Consultoria,Gestão de Projetos de TI,7,1338.24,881.21,Silva Ltda.,DF,centro-oeste
58,2024-07-28,Sarah,Equipe Nebula,Consultoria,Gestão de Projetos de TI,14,216.57,108.81,Rezende,GO,centro-oeste
59,2024-05-23,Benício,Equipe Nebula,Desenvolvimento,Automação de Processos,14,443.21,270.41,Ribeiro Nogueira - ME,BA,nordeste
60,2022-10-17,Benício,Equipe Nebula,Consultoria,Planejamento Estratégico de TI,10,1047.88,864.84,Costa,PR,sul
61,2022-08-10,Renan,Equipe Nebula,Infraestrutura,Hospedagem de Sites,8,489.3,316.12,Barbosa Ltda.,MG,sudeste
62,2023-03-01,Benício,Equipe Nebula,Desenvolvimento,Automação de Processos,17,1398.19,841.22,Rezende,SP,sudeste
63,2023-02-09,Benício,Equipe Nebula,Infraestrutura,Monitoramento de Sistemas,17,549.5,434.35,Monteiro S/A,GO,centro-oeste
64,2025-03-23,Julia,Equipe Nebula,Infraestrutura,Hospedagem de Sites,7,386.96,320.84,Freitas,MG,sudeste
65,2025-02-15,Julia,Equipe Nebula,Consultoria,Auditoria de Sistemas,4,1471.66,842.47,Fogaça,DF,centro-oeste
66,2023-11-05,Sarah,Equipe Nebula,Desenvolvimento,Automação de Processos,9,320.41,188.66,Fogaça,AM,norte
67,2023-07-15,Julia,Equipe Nebula,Desenvolvimento,Desenvolvimento Web,16,290.13,210.15,Cardoso,RS,sul
68,2023-08-14,Sarah,Equipe Nebula,Consultoria,Auditoria de Sistemas,17,614.4,348.98,Nogueira - EI,BA,nordeste
69,2023-06-15,Benício,Equipe Nebula,Infraestrutura,Gerenciamento de Redes,8,799.46,541.57,Freitas,BA,nordeste
70,2024-01-04,Vinicius,Equipe Nebula,Consultoria,Planejamento Estratégico de TI,4,1007.87,851.99,Pereira S.A.,PR,sul
71,2025-05-25,Julia,Equipe Nebula,Desenvolvimento,Desenvolvimento Web,20,842.98,500.41,da Conceição,PR,sul
72,2023-09-05,Julia,Equipe Nebula,Infraestrutura,Hospedagem de Sites,7,1343.75,1195.54,Cunha,AM,norte
73,2022-10-21,Vinicius,Equipe Nebula,Desenvolvimento,Integração de Sistemas,19,941.79,772.23,Rodrigues - EI,AM,norte
74,2024-05-17,Renan,Equipe Nebula,Desenvolvimento,Automação de Processos,15,351.61,297.24,Novaes da Cunha S.A.,MT,centro-oeste
75,2022-06-19,Sarah,Equipe Nebula,Infraestrutura,Backup em Nuvem,9,733.2,563.0,Costela,RS,sul
76,2022-08-02,Benício,Equipe Nebula,Infraestrutura,Gerenciamento de Redes,18,993.08,598.95,Silva Cunha - ME,PE,nordeste
77,2022-11-24,Renan,Equipe Nebula,Desenvolvimento,Criação de Aplicativos,16,1420.8,1067.21,Porto,RJ,sudeste
78,2024-10-15,Julia,Equipe Nebula,Consultoria,Auditoria de Sistemas,14,1208.97,912.11,Ribeiro S/A,SP,sudeste
79,2022-08-15,Vinicius,Equipe Nebula,Consultoria,Treinamento em TI,12,707.86,374.36,Nascimento e Filhos,CE,nordeste
80,2025-02-25,Sarah,Equipe Nebula,Consultoria,Treinamento em TI,20,1389.76,1190.0,Ribeiro Sales - ME,CE,nordeste
81,2024-02-14,Julia,Equipe Nebula,Consultoria,Planejamento Estratégico de TI,20,237.6,187.5,Santos Fernandes S/A,SC,sul
82,2024-07-18,Julia,Equipe Nebula,Infraestrutura,Backup em Nuvem,5,541.74,386.01,Oliveira,SP,sudeste
83,2023-07-06,Sarah,Equipe Nebula,Infraestrutura,Suporte Técnico,6,325.32,182.13,Azevedo,RJ,sudeste
84,2024-05-02,Vinicius,Equipe Nebula,Infraestrutura,Monitoramento de Sistemas,2,493.09,371.31,Campos,AM,norte
85,2023-11-16,Vinicius,Equipe Nebula,Consultoria,Treinamento em TI,20,633.2,326.32,Correia - EI,SC,sul
86,2024-05-15,Julia,Equipe Nebula,Desenvolvimento,Automação de Processos,10,1368.35,877.12,Barbosa da Mata S.A.,BA,nordeste
87,2022-12-21,Sarah,Equipe Nebula,Infraestrutura,Suporte Técnico,13,825.59,733.77,Pereira,MG,sudeste
88,2024-02-03,Renan,Equipe Nebula,Desenvolvimento,Integração de Sistemas,11,1306.11,774.58,Carvalho,MT,centro-oeste
89,2024-07-31,Julia,Equipe Nebula,Desenvolvimento,Automação de Processos,9,1102.79,607.04,Alves,SP,sudeste
90,2024-01-24,Renan,Equipe Nebula,Infraestrutura,Monitoramento de Sistemas,13,386.28,338.66,Gonçalves,SP,sudeste
91,2025-05-06,Renan,Equipe Nebula,Consultoria,Consultoria em TI,16,828.45,549.29,Moura,PA,norte
92,2024-11-24,Benício,Equipe Nebula,Consultoria,Gestão de Projetos de TI,16,287.95,248.33,da Luz Farias e Filhos,RJ,sudeste
93,2024-11-24,Benício,Equipe Nebula,Infraestrutura,Backup em Nuvem,6,337.12,298.89,Freitas S.A.,PA,norte
94,2025-03-29,Benício,Equipe Nebula,Infraestrutura,Hospedagem de Sites,2,349.53,285.2,Cunha,SP,sudeste
95,2024-09-28,Benício,Equipe Nebula,Desenvolvimento,Desenvolvimento Web,9,1469.42,1223.48,Cavalcanti Ltda.,SP,sudeste
96,2023-10-30,Benício,Equipe Nebula,Infraestrutura,Backup em Nuvem,6,1183.9,921.31,Moreira,MG,sudeste
97,2022-07-18,Julia,Equipe Nebula,Desenvolvimento,Automação de Processos,19,443.62,256.35,Gonçalves - EI,DF,centro-oeste
98,2023-08-22,Vinicius,Equipe Nebula,Consultoria,Planejamento Estratégico de TI,2,454.99,348.68,Cavalcanti,RJ,sudeste
99,2024-09-02,Sarah,Equipe Nebula,Consultoria,Treinamento em TI,6,1153.32,621.4,Carvalho,SC,sul
100,2023-11-15,Julia,Equipe Nebula,Consultoria,Auditoria de Sistemas,15,1496.24,868.72,Pires,MT,centro-oeste
101,2022-07-07,Julia,Equipe Nebula,Infraestrutura,Hospedagem de Sites,10,570.0,326.87,das Neves - ME,BA,nordeste
102,2024-01-29,Renan,Equipe Nebula,Consultoria,Auditoria de Sistemas,7,221.98,116.6,Barbosa Ltda.,BA,nordeste
103,2023-10-05,Vinicius,Equipe Nebula,Consultoria,Gestão de Projetos de TI,8,332.32,235.41,Santos Oliveira - ME,SC,sul
104,2023-12-03,Sarah,Equipe Nebula,Desenvolvimento,Integração de Sistemas,7,819.68,676.35,Carvalho - EI,MG,sudeste
105,2025-03-20,Benício,Equipe Nebula,Consultoria,Gestão de Projetos de TI,13,665.04,564.07,Moreira,PA,norte
106,2023-05-17,Renan,Equipe Nebula,Consultoria,Planejamento Estratégico de TI,3,604.68,480.15,Cunha - ME,RO,norte
107,2022-09-19,Sarah,Equipe Nebula,Desenvolvimento,Integração de Sistemas,5,350.73,199.98,Araújo,SC,sul
108,2024-01-11,Benício,Equipe Nebula,Consultoria,Treinamento em TI,12,228.91,195.99,Pinto,RS,sul
109,2023-10-06,Renan,Equipe Nebula,Infraestrutura,Backup em Nuvem,3,350.22,212.55,Gonçalves Moreira - EI,PA,norte
110,2024-04-13,Benício,Equipe Nebula,Desenvolvimento,Integração de Sistemas,19,202.19,131.22,da Cruz - EI,CE,nordeste
111,2024-08-17,Julia,Equipe Nebula,Consultoria,Consultoria em TI,15,695.66,379.58,Ferreira,RJ,sudeste
112,2024-02-27,Benício,Equipe Nebula,Infraestrutura,Hospedagem de Sites,12,604.83,536.95,Gomes,MT,centro-oeste
113,2023-04-17,Vinicius,Equipe Nebula,Infraestrutura,Suporte Técnico,12,1189.35,952.23,da Cunha,CE,nordeste
114,2024-02-03,Benício,Equipe Nebula,Consultoria,Auditoria de Sistemas,19,654.54,579.54,Fernandes Moraes Ltda.,PA,norte
115,2025-01-10,Renan,Equipe Nebula,Desenvolvimento,Desenvolvimento de Software,14,676.63,599.67,Freitas,CE,nordeste
116,2023-01-09,Renan,Equipe Nebula,Consultoria,Gestão de Projetos de TI,9,656.67,365.63,da Costa e Filhos,PE,nordeste
117,2024-06-13,Renan,Equipe Nebula,Infraestrutura,Backup em Nuvem,9,1101.78,904.0,Rodrigues,SC,sul
118,2022-09-15,Vinicius,Equipe Nebula,Desenvolvimento,Desenvolvimento Web,7,672.63,577.13,Novaes Ltda.,MG,sudeste
119,2025-02-18,Vinicius,Equipe Nebula,Infraestrutura,Backup em Nuvem,19,451.93,325.55,da Luz Peixoto S/A,MT,centro-oeste
120,2024-11-22,Julia,Equipe Nebula,Infraestrutura,Backup em Nuvem,5,1195.87,928.95,Barbosa,AM,norte
121,2022-06-14,Benício,Equipe Nebula,Infraestrutura,Suporte Técnico,5,775.36,526.45,Moraes S.A.,SP,sudeste
122,2022-06-22,Vinicius,Equipe Nebula,Consultoria,Treinamento em TI,1,504.94,405.97,Farias Monteiro - ME,PE,nordeste
123,2023-08-20,Sarah,Equipe Nebula,Desenvolvimento,Desenvolvimento Web,6,1184.42,836.07,Porto,PR,sul
124,2023-12-13,Sarah,Equipe Nebula,Consultoria,Planejamento Estratégico de TI,2,832.69,746.22,da Rosa,PA,norte
125,2024-03-28,Julia,Equipe Nebula,Consultoria,Auditoria de Sistemas,4,356.1,220.72,Cardoso da Mota - ME,RJ,sudeste
126,2023-08-18,Vinicius,Equipe Nebula,Infraestrutura,Monitoramento de Sistemas,15,1454.18,876.87,Duarte Jesus S.A.,CE,nordeste
127,2025-01-03,Benício,Equipe Nebula,Infraestrutura,Suporte Técnico,12,491.32,349.86,Duarte S.A.,MT,centro-oeste
128,2025-01-22,Benício,Equipe Nebula,Consultoria,Consultoria em TI,10,1078.69,726.47,da Mata - EI,BA,nordeste
129,2024-09-20,Renan,Equipe Nebula,Infraestrutura,Monitoramento de Sistemas,1,1047.13,929.35,da Rosa S/A,RO,norte
130,2023-11-03,Benício,Equipe Nebula,Consultoria,Treinamento em TI,11,375.73,288.33,Duarte Barros - EI,CE,nordeste
131,2024-02-24,Vinicius,Equipe Nebula,Infraestrutura,Monitoramento de Sistemas,14,516.83,422.61,Duarte - ME,GO,centro-oeste
132,2022-12-17,Vinicius,Equipe Nebula,Desenvolvimento,Automação de Processos,10,791.86,642.16,Souza,MT,centro-oeste
133,2023-12-30,Sarah,Equipe Nebula,Infraestrutura,Backup em Nuvem,17,892.81,712.89,Silva,MG,sudeste
134,2025-01-16,Vinicius,Equipe Nebula,Consultoria,Auditoria de Sistemas,15,626.21,507.18,Rodrigues,MG,sudeste
135,2023-12-07,Sarah,Equipe Nebula,Infraestrutura,Suporte Técnico,2,885.64,468.35,Viana,RJ,sudeste
136,2023-10-18,Julia,Equipe Nebula,Consultoria,Auditoria de Sistemas,15,1082.29,840.95,da Cunha,PR,sul
137,2023-11-21,Julia,Equipe Nebula,Consultoria,Planejamento Estratégico de TI,16,704.21,431.74,Sales,RS,sul
138,2024-10-30,Renan,Equipe Nebula,Desenvolvimento,Desenvolvimento Web,1,1464.76,1087.87,Campos e Filhos,BA,nordeste
139,2024-06-20,Renan,Equipe Nebula,Desenvolvimento,Automação de Processos,3,321.86,209.48,Porto Duarte S/A,DF,centro-oeste
140,2023-08-04,Sarah,Equipe Nebula,Desenvolvimento,Desenvolvimento de Software,13,768.21,419.83,Pires e Filhos,CE,nordeste
141,2022-06-08,Renan,Equipe Nebula,Infraestrutura,Monitoramento de Sistemas,5,1416.57,838.33,da Paz,PR,sul
142,2024-11-18,Renan,Equipe Nebula,Desenvolvimento,Criação de Aplicativos,12,459.0,381.83,Alves,GO,centro-oeste
143,2024-03-30,Julia,Equipe Nebula,Desenvolvimento,Integração de Sistemas,11,541.98,474.02,Duarte,AM,norte
144,2022-08-23,Julia,Equipe Nebula,Consultoria,Gestão de Projetos de TI,18,431.96,362.47,Fogaça - ME,RJ,sudeste
145,2024-01-12,Vinicius,Equipe Nebula,Desenvolvimento,Automação de Processos,18,1122.24,903.11,Sales,PA,norte
146,2025-03-23,Vinicius,Equipe Nebula,Consultoria,Treinamento em TI,1,541.41,417.68,Ribeiro,PE,nordeste
147,2023-12-21,Sarah,Equipe Nebula,Desenvolvimento,Desenvolvimento Web,4,818.08,564.58,Teixeira,MT,centro-oeste
148,2024-03-22,Julia,Equipe Nebula,Desenvolvimento,Desenvolvimento Web,8,263.35,159.45,Lopes da Rosa S/A,RJ,sudeste
149,2024-10-31,Julia,Equipe Nebula,Infraestrutura,Hospedagem de Sites,17,1120.5,688.51,Nascimento,PR,sul
150,2023-12-22,Julia,Equipe Nebula,Infraestrutura,Backup em Nuvem,16,1423.86,743.05,Fogaça,MG,sudeste
151,2025-03-25,Julia,Equipe Nebula,Consultoria,Gestão de Projetos de TI,20,740.41,479.68,Fernandes e Filhos,CE,nordeste
152,2022-09-19,Renan,Equipe Nebula,Desenvolvimento,Criação de Aplicativos,19,1438.26,949.8,Sales Duarte - EI,RO,norte
153,2023-09-17,Vinicius,Equipe Nebula,Infraestrutura,Hospedagem de Sites,10,755.63,539.19,Costa,SP,sudeste
154,2022-11-04,Julia,Equipe Nebula,Consultoria,Consultoria em TI,3,1271.29,872.05,Moraes,RS,sul
155,2024-01-07,Benício,Equipe Nebula,Desenvolvimento,Integração de Sistemas,2,915.44,569.63,Peixoto,PA,norte
156,2024-08-08,Renan,Equipe Nebula,Consultoria,Treinamento em TI,13,723.88,447.55,Almeida Lopes - EI,PE,nordeste
157,2024-11-12,Benício,Equipe Nebula,Consultoria,Planejamento Estratégico de TI,13,315.6,279.61,Nunes Mendes - EI,GO,centro-oeste
158,2022-08-20,Sarah,Equipe Nebula,Infraestrutura,Hospedagem de Sites,3,1036.61,562.7,Novaes Nunes - EI,SC,sul
159,2023-12-10,Sarah,Equipe Nebula,Consultoria,Consultoria em TI,19,1258.67,824.96,Nascimento Nascimento - ME,GO,centro-oeste
160,2022-10-24,Vinicius,Equipe Nebula,Consultoria,Consultoria em TI,13,1130.66,790.91,Porto,GO,centro-oeste
161,2023-07-16,Julia,Equipe Nebula,Desenvolvimento,Desenvolvimento Web,13,1251.54,868.97,Monteiro,BA,nordeste
162,2022-10-15,Benício,Equipe Nebula,Consultoria,Gestão de Projetos de TI,19,1194.21,895.37,da Paz,PE,nordeste
163,2023-09-27,Sarah,Equipe Nebula,Consultoria,Auditoria de Sistemas,20,604.52,388.98,da Luz Porto S/A,SP,sudeste
164,2022-11-19,Vinicius,Equipe Nebula,Infraestrutura,Suporte Técnico,3,268.35,236.8,da Costa Almeida Ltda.,SP,sudeste
165,2022-11-18,Julia,Equipe Nebula,Desenvolvimento,Criação de Aplicativos,15,323.82,190.01,Cardoso - EI,PA,norte
166,2023-06-20,Julia,Equipe Nebula,Desenvolvimento,Automação de Processos,17,271.0,168.44,da Mota e Filhos,SP,sudeste
167,2024-03-17,Renan,Equipe Nebula,Consultoria,Gestão de Projetos de TI,18,1123.11,800.0,Fogaça S.A.,AM,norte
168,2024-11-02,Julia,Equipe Nebula,Desenvolvimento,Automação de Processos,9,358.0,289.09,da Paz S/A,PR,sul
169,2022-07-24,Benício,Equipe Nebula,Infraestrutura,Gerenciamento de Redes,16,1194.13,816.59,Lima e Filhos,AM,norte
170,2023-12-22,Renan,Equipe Nebula,Desenvolvimento,Automação de Processos,8,180.53,139.36,Cunha e Filhos,PA,norte
171,2022-10-24,Sarah,Equipe Nebula,Infraestrutura,Backup em Nuvem,7,1473.47,1019.0,Viana,RS,sul
172,2025-04-16,Sarah,Equipe Nebula,Desenvolvimento,Desenvolvimento de Software,12,564.7,374.01,Oliveira,CE,nordeste
173,2022-06-11,Vinicius,Equipe Nebula,Infraestrutura,Hospedagem de Sites,2,1082.63,572.29,Moraes S/A,SC,sul
174,2023-11-19,Benício,Equipe Nebula,Desenvolvimento,Automação de Processos,1,349.03,304.28,Porto,MT,centro-oeste
175,2023-05-15,Vinicius,Equipe Nebula,Infraestrutura,Suporte Técnico,16,1329.36,988.51,Lopes,SP,sudeste
176,2023-05-31,Renan,Equipe Nebula,Infraestrutura,Backup em Nuvem,3,1241.36,723.46,Silva,AM,norte
177,2022-09-16,Vinicius,Equipe Nebula,Desenvolvimento,Desenvolvimento de Software,2,1391.57,1016.09,Correia S.A.,DF,centro-oeste
178,2023-01-02,Renan,Equipe Nebula,Consultoria,Consultoria em TI,10,1363.33,746.84,Nogueira Ltda.,RJ,sudeste
179,2022-12-18,Vinicius,Equipe Nebula,Desenvolvimento,Integração de Sistemas,4,668.9,461.21,Rodrigues,RS,sul
180,2024-03-03,Renan,Equipe Nebula,Desenvolvimento,Desenvolvimento Web,20,617.77,341.17,Fogaça Pinto e Filhos,RS,sul
181,2022-08-15,Sarah,Equipe Nebula,Desenvolvimento,Automação de Processos,4,458.17,378.52,Alves Gomes - ME,BA,nordeste
182,2022-06-21,Vinicius,Equipe Nebula,Infraestrutura,Gerenciamento de Redes,12,801.45,519.0,Correia S.A.,RO,norte
183,2025-03-18,Benício,Equipe Nebula,Infraestrutura,Hospedagem de Sites,3,756.6,677.25,Mendes,MG,sudeste
184,2024-04-18,Sarah,Equipe Nebula,Desenvolvimento,Desenvolvimento de Software,12,1094.1,932.56,Vieira e Filhos,PE,nordeste
185,2023-12-26,Vinicius,Equipe Nebula,Infraestrutura,Gerenciamento de Redes,7,1424.04,1177.98,Souza Pinto S.A.,PA,norte
186,2025-02-09,Renan,Equipe Nebula,Infraestrutura,Backup em Nuvem,1,356.81,211.24,Vieira Caldeira S/A,MG,sudeste
187,2024-09-12,Julia,Equipe Nebula,Desenvolvimento,Criação de Aplicativos,6,723.05,402.75,Alves,CE,nordeste
188,2024-02-19,Julia,Equipe Nebula,Consultoria,Treinamento em TI,5,809.23,556.92,Ramos da Cunha - EI,RO,norte
189,2023-03-04,Julia,Equipe Nebula,Consultoria,Consultoria em TI,13,1379.22,1113.47,Viana,CE,nordeste
190,2023-09-08,Renan,Equipe Nebula,Infraestrutura,Monitoramento de Sistemas,6,1261.13,751.1,Novaes S.A.,SC,sul
191,2023-02-06,Sarah,Equipe Nebula,Consultoria,Auditoria de Sistemas,20,924.0,734.37,Rezende S/A,CE,nordeste
192,2023-12-28,Julia,Equipe Nebula,Infraestrutura,Backup em Nuvem,11,664.9,529.46,Duarte,CE,nordeste
193,2022-07-29,Renan,Equipe Nebula,Desenvolvimento,Automação de Processos,9,1468.36,972.62,Melo,MT,centro-oeste
194,2024-01-11,Julia,Equipe Nebula,Consultoria,Gestão de Projetos de TI,13,818.85,715.07,Lima,PE,nordeste
195,2024-02-03,Renan,Equipe Nebula,Infraestrutura,Monitoramento de Sistemas,3,877.79,631.97,Barbosa,SC,sul
196,2024-01-02,Vinicius,Equipe Nebula,Consultoria,Planejamento Estratégico de TI,14,1399.29,1025.78,Monteiro e Filhos,MT,centro-oeste
197,2025-03-30,Sarah,Equipe Nebula,Consultoria,Gestão de Projetos de TI,8,946.3,597.3,Farias,BA,nordeste
198,2024-02-29,Julia,Equipe Nebula,Infraestrutura,Monitoramento de Sistemas,1,1355.04,1151.21,Peixoto - EI,PR,sul
199,2024-02-01,Sarah,Equipe Nebula,Infraestrutura,Gerenciamento de Redes,16,1022.31,561.95,Almeida,DF,centro-oeste
200,2023-04-28,Julia,Equipe Nebula,Desenvolvimento,Desenvolvimento de Software,18,888.42,752.02,das Neves,SP,sudeste
201,2025-05-29,Vinicius,Equipe Nebula,Desenvolvimento,Automação de Processos,6,379.79,216.28,Carvalho,GO,centro-oeste
202,2022-08-06,Sarah,Equipe Nebula,Desenvolvimento,Automação de Processos,16,366.06,192.29,Cavalcanti,CE,nordeste
203,2023-10-10,Benício,Equipe Nebula,Consultoria,Auditoria de Sistemas,18,1227.08,715.27,Costa Ltda.,CE,nordeste
204,2023-06-17,Julia,Equipe Nebula,Desenvolvimento,Criação de Aplicativos,12,1318.98,1048.61,Melo,AM,norte
205,2025-03-13,Renan,Equipe Nebula,Desenvolvimento,Automação de Processos,1,725.06,583.83,da Paz,RJ,sudeste
206,2023-03-16,Benício,Equipe Nebula,Infraestrutura,Suporte Técnico,4,1098.39,618.24,Moraes Pinto S.A.,RO,norte
207,2023-08-23,Sarah,Equipe Nebula,Desenvolvimento,Automação de Processos,8,988.07,682.19,Viana Correia Ltda.,PE,nordeste
